BORO,VIOLATION CODE,VIOLATION DESCRIPTION,Latitude,Longitude
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.775952356976,-73.915115056138
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743160853683,-73.936568040473
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.840641930857,-73.84331728604
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.677494264872,-73.97973135611
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.713875262809,-73.998708617879
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.634894127412,-73.933291801944
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.719978602979,-73.984617431286
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.812831462857,-73.881698259357
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.771233425393,-73.903795478357
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.818746337462,-73.928027031652
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.744731177115,-73.932322484066
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.722974057809,-73.994801294194
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.712869909775,-73.905178618669
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.584161653866,-73.820473327569
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.73731520658,-73.990809184838
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.714303286953,-73.993809983219
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.728804047051,-73.998325876931
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.744434480615,-73.984781379958
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.654075966415,-73.959559886864
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.742338489619,-74.000649576733
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.627559763959,-73.989138373724
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.759777908235,-73.829235428489
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.746257439365,-73.988537902579
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.689459153052,-73.96925981563
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.732431170476,-73.981644979606
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.875906638571,-73.84974997361
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.727369591333,-73.73135192459
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.74844520734,-73.973224148218
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.574671923721,-73.979658287647
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.855270522123,-73.887034008876
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.72884463286,-73.988288347373
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.905434879643,-73.900843816155
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.608078102502,-74.162260908042
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.784291863123,-73.973783832856
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.757320556569,-73.968477585656
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.638064434066,-73.994577336403
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.652037800133,-74.010065570654
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.727485993519,-73.988483416489
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.764689859162,-73.823024445946
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.760131167476,-73.914568569192
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.829323263464,-73.875215114828
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.679663925638,-73.862188854087
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.644915536788,-73.999776584852
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.718554724796,-73.990721595191
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.686666162643,-73.843204527526
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.784478616395,-73.956154599678
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.846312754261,-73.831802766473
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.801663228304,-73.948865079389
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.750851976775,-73.873814315473
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.683987346625,-73.995125242818
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.697321316462,-73.992538537314
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.75241734621,-73.975319553347
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.764194226996,-73.915671592103
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.64372588042,-74.072788802132
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.724109104639,-73.904412149348
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.73233642364,-73.994161906741
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.719081660515,-73.990010844933
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.758018642617,-73.987622638957
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.67642873961,-73.84364689062
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.799729834734,-73.935766267997
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.742154589856,-74.000757837422
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.638980926117,-74.009494296081
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.732860681159,-74.00569020135
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.696021928017,-73.790866557705
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.676843826843,-73.98015336319
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.860145341906,-73.892950975966
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.638679363819,-74.03555931133
Staten Island,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.573990387537,-74.106221480135
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.67349980621,-73.956934423683
Bronx,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.80776461455,-73.919748673439
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.730548723387,-73.984802604029
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.734194592809,-73.993483379736
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.729254192244,-74.001403530797
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.794160210061,-73.939859971808
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.580649341811,-73.83770158717
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.73410378868,-73.937767438895
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.637482368602,-74.008290657602
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.760456388468,-73.973706616717
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.639960133856,-74.015677529764
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.761351054632,-73.990509852302
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.712659524605,-73.8798495165
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.640825971612,-73.95021031058
Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.740032596862,-73.991790357067
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.61267857005,-74.033762554701
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.644308459166,-74.01050041606
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.747620132253,-73.882987448452
Queens,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.753154845794,-73.927809425352
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.64319167655,-73.994378732394
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.744568784165,-73.953474305211
Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.646296080043,-73.995672142488
Brooklyn,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.632789109919,-73.929107444422
Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.665092413129,-73.735752589279
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.789050036159,-73.946523846699
Manhattan,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.743052129685,-74.000101046356
Bronx,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.837359616759,-73.910222641998
